id,name,note,nbr_avis,type,quartier,prix
47,EL CERVANTES,5/5,1,Restaurant espagnol,75005,€€
48,LA BRIGADE,5/5,1,Food trucks,75013,€
49,CAFÉ MADAM,5/5,1,Cuisine française,75002,€
0,COCO TREE'S,5/5,1,Restaurant thaïlandais,75017,€
1,LE MODERNE,5/5,1,Cuisine française,75002,€€
2,CASA HUGO,5/5,1,Restaurant espagnol,75008,€€
3,COMESTIBLES ET MARCHAND DE VINS,5/5,1,Bistrot – Brasserie,75018,€€
4,L'ENOTECA DELLA CASA,5/5,1,Restaurant italien et pizzeria,75017,€€
5,MISS LUNCH,5/5,1,Cuisine française,75012,€
6,LES VOILES,5/5,1,Restaurant fruits de mer – Poissons,75017,€€
7,LE VIEUX CRAPAUD,5/5,1,Cuisine française,75016,€€
8,DA ZHONG HUA DUNOIS,5/5,1,Restaurant chinois,75013,€€
9,JÉRÉMIE,5/5,1,Cuisine française,75016,€€
10,48 CONDORCET,5/5,1,Cuisine française,75009,€
11,GRAINE,5/5,1,Cuisine du Maghreb,75008,€
12,CLAMATO,5/5,1,Restaurant fruits de mer – Poissons,75011,€€
13,FILAKIA,5/5,1,Restaurant grec,75002,€
14,MOSES DELI,5/5,1,Restaurant américain,75011,€
15,BIANCA,5/5,1,Restaurant italien et pizzeria,75002,€€
16,ZERDA CAFÉ,5/5,1,Restaurant marocain,75017,€€
17,L'ALLER RETOUR,5/5,1,Restaurant de viandes,75003,€€
18,À LA RENAISSANCE,5/5,1,Bistrot – Brasserie,75011,€€
19,LE TOURNESOL,5/5,1,Bistrot – Brasserie,75016,€€
20,LE CARRÉ,5/5,1,Cuisine française,75008,€€
21,CAFÉ LAMARTINE,5/5,1,Cuisine française,75016,€€
22,OSTERIA RUGGERA,5/5,1,Restaurant italien et pizzeria,75002,€€
23,CHEZ JACQUES,"4,6/5",5,Cuisine française,75016,€€
24,LE MOULIN DE LA VIERGE,5/5,1,Cuisine française,75002,€
25,SFIZIO,5/5,1,Restaurant italien et pizzeria,75006,€
26,LA MATTA,5/5,1,Restaurant italien et pizzeria,75016,€€
27,OHINÉNÉ,5/5,1,Restaurant ivoirien,75020,€
28,CANTINE NANCHANG,5/5,1,Restaurant chinois,75011,€
29,LE PICOTIN,5/5,1,Bistrot – Brasserie,75012,€€
30,CHEZ LY,5/5,1,Cuisine d'Asie,75008,€€€
31,ES,5/5,1,Cuisine française,75007,€€
32,SUSHI WEST,5/5,1,Restaurant japonais,75011,€
33,LA MAISON DE THÉ,5/5,1,Restaurant japonais,75006,€
34,LA RÉGALADE CONSERVATOIRE,5/5,1,Cuisine française,75009,€€
35,I GHIOTTI,5/5,1,Restaurant italien et pizzeria,75017,€
36,LE 52,5/5,1,Cuisine française,75010,€€
37,LE VERRE VOLÉ,5/5,1,Bistrot – Brasserie,75010,€€
38,Ô ZINCONTOURNABLES,5/5,1,Cuisine française,75008,€€
39,MAMIE GÂTEAUX,5/5,1,Cuisine française,75006,€
40,VERTIGO,5/5,1,Bistrot – Brasserie,75011,€€
41,LA SOURCE,5/5,1,Cuisine française,75007,€€
42,CIBUS,5/5,1,Restaurant bio,75001,€€
43,SAN FRANCISCO,5/5,1,Restaurant italien et pizzeria,75016,€€
44,KOKOHANA,5/5,1,Restaurant japonais,75008,€€
45,OKAME,5/5,1,Restaurant japonais,75008,€
46,KITO KITO,5/5,1,Restaurant japonais,75015,€
47,L'ÉCHAPPÉE,5/5,1,Restaurant thaïlandais,75020,€€
48,MATSUYA,5/5,1,Restaurant japonais,75005,€
49,JUAN,5/5,1,Restaurant japonais,75016,€€
0,L'ORDONNANCE,5/5,1,Bistrot – Brasserie,75014,€€
1,DROP CAFÉ,5/5,1,Bistrot – Brasserie,75007,€
2,NAOKO,5/5,1,Restaurant japonais,75018,€€
3,LE GRAND BISTRO DE LA MUETTE,5/5,1,Cuisine française,75016,€€
4,SALON DU FROMAGE HISADA,5/5,1,Cuisine française,75001,€
5,LA VILLA,5/5,1,Cuisine française,75008,€€
6,LE PETIT OZIO,5/5,1,Restaurant italien et pizzeria,75016,€€
7,L'AROBASE CAFÉ,5/5,1,Restaurant américain,75013,€
8,LE PANTRUCHE,5/5,1,Bistrot – Brasserie,75009,€€
9,LABEL FERME,5/5,1,Restaurant bio,75009,€
10,LE GLOBE,5/5,1,Restaurant marocain,75010,€
11,IL TRE,5/5,1,Restaurant italien et pizzeria,75002,€€
12,LE REINITAS,5/5,1,Cuisine française,None,€€
13,L'ÉCAILLE DE LA FONTAINE,5/5,1,Restaurant fruits de mer – Poissons,75002,€€
14,PLANET SUSHI,5/5,1,Restaurant japonais,75020,€
15,PARADIS MARGUERITE,5/5,1,Restaurant végétarien,75006,€€
16,VICTORIA STATION,5/5,1,Cuisine française,75002,€€
17,LA FONTAINE DE MARS,5/5,1,Bistrot – Brasserie,75007,€€
18,LA CORTE,5/5,1,Restaurant italien et pizzeria,75001,€€
19,LE TONG YEN,5/5,1,Restaurant chinois,75008,€€
20,LE GRAND VÉFOUR,"4,6/5",5,Bistrot – Brasserie,75001,€€€
21,BISTROT DU SOMMELIER,5/5,1,Cuisine française,75008,€€
22,HEUREUX COMME ALEXANDRE - SAINT-MICHEL,5/5,1,Restaurant fromages,75005,€
23,ZE RESTOO,5/5,1,Cuisine française,75004,€€
24,GRIZZLY,5/5,1,Bistrot – Brasserie,75004,€€
25,LA FONTAINE GOURMANDE,5/5,1,Cuisine française,75003,€€
26,STUART FRIENDLY,5/5,1,Sur place – À emporter,75002,€€
27,SANS GÊNE,5/5,1,Restaurant thaïlandais,75011,€€
28,ACTE,5/5,1,Cuisine française,75002,€€
29,LE FLANDRIN,5/5,1,Bistrot – Brasserie,75016,€€
30,DI COMO,5/5,1,Restaurant italien et pizzeria,75007,€€
31,WUNDERBAR,5/5,1,Restaurant allemand,75010,€
32,LE RELAIS DE LA TOUR,5/5,1,Bistrot – Brasserie,75007,€
33,BAFFO,5/5,1,Restaurant italien et pizzeria,75004,€€
34,KIMURA,5/5,1,Restaurant japonais,75014,€€
35,LE ROYAL VILLIERS,5/5,1,Cuisine française,75017,€€
36,DS CAFÉ,5/5,1,Sur le pouce,75016,€
37,LOUSTIC,5/5,1,Sur le pouce,75003,€
38,JOURS DE FÊTE,5/5,1,Tapas,75010,€
39,DIGGITY,5/5,1,Bistronomie,75011,€€
40,MINI PALAIS,5/5,1,Cuisine française,75008,€€
41,FOYER DE LA MADELEINE,5/5,1,Restaurant insolite,75008,€€
42,BALAGAN,5/5,1,Cuisine du Proche et Moyen-Orient,75001,€€
43,KRISHNA BHAVAN,5/5,1,Restaurant indien,75005,€
44,CARETTE DES VOSGES,5/5,1,Cuisine française,75003,€€
45,LE LOUCHÉBEM,"3,9/5",12,Restaurant de viandes,75001,€€
46,BRIGITTE,5/5,1,Bistrot – Brasserie,75017,€€
47,CHEZ FARHAT,5/5,1,Restaurant libanais,75014,€€
48,LA CANTINE DU TROQUET DUPLEIX,5/5,1,Bistrot – Brasserie,75015,€€
49,GRØNT,5/5,1,Food trucks,75010,€
0,LÜÜK,5/5,1,Cuisine d'Asie,75018,€
1,MI CAYITO,5/5,1,Restaurant cubain,75002,€€
2,LE PAVILLON PUEBLA,5/5,1,Restaurant italien et pizzeria,75019,€€
3,LE DUC DES LOMBARDS,5/5,1,Cuisine française,75001,€€
4,AUX PRÈS,5/5,1,Cuisine française,75006,€€
5,CENTRAL CAFÉ,5/5,1,Cuisine française,75014,€
6,CLAIRIÈRE,5/5,1,Bistrot – Brasserie,75009,€€
7,LE PUITS DE LÉGUMES,5/5,1,Restaurant bio,75005,€€
8,TANGANYIKA,5/5,1,Cuisine d'Afrique,None,€€
9,LA FOLLE AVOINE,5/5,1,Cuisine française,None,€€
10,SUSHI MARCHÉ,5/5,1,Restaurant japonais,75016,€€
11,LA FERME SAINT-SIMON,5/5,1,Cuisine française,75007,€€€
12,ORIENT EXTREME MONTAIGNE,5/5,1,Restaurant japonais,75008,€€
13,SUSHI GOURMET,5/5,1,Restaurant japonais,75016,€€
14,SUSHIVIVO,5/5,1,Restaurant japonais,75003,€
15,L'ÉTOILE VÉNITIENNE,5/5,1,Cuisine française,75016,€
16,PITAYA,5/5,1,Restaurant thaïlandais,75010,€
17,L' ALCHIMIE,5/5,1,Cuisine française,75015,€€
18,MOZZATO,5/5,1,Restaurant italien et pizzeria,75002,€€
19,SEMILLA,5/5,1,Bistrot – Brasserie,75006,€€
20,BÜL,5/5,1,Restaurant végétarien,75009,€€
21,NGOC XUYEN SAIGON,5/5,1,Restaurant vietnamien,75013,€
22,LE PLOMB DU CANTAL,5/5,1,Restaurant auvergnat,75010,€€
23,LE VIN AU VERT,5/5,1,Bistrot – Brasserie,75009,€
24,CORNER CAFÉ,5/5,1,Bistrot – Brasserie,75002,€€
25,COINSTOT VINO,5/5,1,Bistrot – Brasserie,75002,€€
26,BRASSERIE THOUMIEUX,5/5,1,Bistrot – Brasserie,75007,€€
27,ROGER LA GRENOUILLE,5/5,1,Bistrot – Brasserie,75006,€€
28,VINS DES PYRÉNÉES,5/5,1,Bistrot – Brasserie,75004,€€
29,LE RELAIS DE L'ISLE,5/5,1,Bistrot – Brasserie,75004,€€
30,YAM'TCHA,5/5,1,Cuisine française,75001,€€€
31,L'ACAJOU,5/5,1,Cuisine française,75016,€€
32,TYPICK CAFÉ,5/5,1,Sur le pouce,75019,€
33,LA PATACHE,5/5,1,Cuisine française,75010,€€
34,VRAYMONDE,5/5,1,Cuisine française,75008,€€
35,L' AMI PIERRE,5/5,1,Bistrot – Brasserie,75011,€€
36,SENSE EAT,5/5,1,Restaurant végétarien,75006,€€
37,CASA PINOCCHIO,5/5,1,Restaurant italien et pizzeria,75019,€
38,NAPOLETANO SEMPRE,5/5,1,Restaurant italien et pizzeria,75015,€€
39,CARUSO,5/5,1,Restaurant italien et pizzeria,75004,€€
40,OLIO PANE VINO,5/5,1,Restaurant italien et pizzeria,75001,€€
41,VILLA PAPILLON,5/5,1,Restaurant thaïlandais,75002,€€
42,COMME DES POISSONS,5/5,1,Sushi,75016,€€
43,SUSHI WASABI,5/5,1,Sushi,75003,€€
44,AKASAKA,5/5,1,Restaurant japonais,75016,€€€
45,MAKI SUSHI TOKYO,5/5,1,Restaurant japonais,75013,€
46,TOKIOYAKI,5/5,1,Restaurant japonais,75010,€
47,HOTARU,5/5,1,Restaurant japonais,75009,€€
48,MOMOKA,5/5,1,Restaurant japonais,75009,€€
49,DEVANT VOUS,5/5,1,Restaurant japonais,75002,€€
0,MIYOSHI,5/5,1,Restaurant japonais,75001,€€
1,LE PACIFIQUE,5/5,1,Restaurant chinois,75019,€
2,TSE YANG,5/5,1,Restaurant chinois,75016,€€€
3,MELINDA,5/5,1,Restaurant cambodgien,75013,€
4,LA LUNE,5/5,1,Restaurant cambodgien,75013,€€
5,MACHU PICCHU,5/5,1,Restaurant péruvien,75005,€€
6,EL SOL Y LA LUNA,5/5,1,Restaurant mexicain,75005,€€
7,LE SAINT-MÉDARD,5/5,1,Cuisine française,75005,€
8,CAFÉ LILOU,5/5,1,Cuisine française,75005,€€
9,YARD,5/5,1,Cuisine française,75011,€€
10,RISTORANTE PULCINELLA,5/5,1,Restaurant italien et pizzeria,75018,€€
11,CORNEIL,5/5,1,Bistrot – Brasserie,75009,€€
12,LE SYBARIS,5/5,1,Cuisine française,75003,€€
13,GERMAINE,5/5,1,Cuisine française,75006,€€
14,L'ÂNE ET LA MULE,5/5,1,Bistrot – Brasserie,75006,€€
15,LE SAINT-JEAN,5/5,1,Bistrot – Brasserie,75018,€€
16,LE COMPTOIR,5/5,1,Bistrot – Brasserie,75006,€€
17,BLEND HAMBURGER,5/5,1,Restaurant américain,75002,€
18,LE GALION,5/5,1,Restaurant sur l'eau,75016,€€
19,DIS VINS GAULOIS,5/5,1,Bistrot – Brasserie,75015,€€
20,MOMONOKI,5/5,1,Restaurant japonais,75002,€
21,BOUILLON RÉPUBLIQUE,5/5,1,Bistrot – Brasserie,75003,€
22,LÉNGUÉ,5/5,1,Restaurant japonais,75005,€€
23,LE MEZZÉ DU CHEF,5/5,1,Restaurant turc,75020,€
24,TOUTOFU,5/5,1,Restaurant végétarien,75011,€€
25,KIT À BIEN MANGER,5/5,1,Livraison à domicile,75006,€
26,AHIPOKÉ,5/5,1,Cuisines du monde,75010,€
27,LE PETIT CHAMPERRET,5/5,1,Bistrot – Brasserie,75017,€€
28,MILLÉSIMES 62,"4,4/5",7,Bistrot – Brasserie,75014,€€
29,CAFÉ GINGER,5/5,1,Restaurant végétalien,75004,€
30,PONTOCHOUX,5/5,1,Cuisine d'Asie,75003,€
31,LE LOIR DANS LA THÉIÈRE,"4,2/5",9,Restauration rapide – À domicile,75004,€€
32,LE BARATIN,5/5,1,Bistrot – Brasserie,75020,€€
33,JOHN VIANDE,5/5,1,Restaurant de viandes,75010,€
34,AU VIN DES RUES,5/5,1,Bistrot – Brasserie,75014,€€
35,LA CAFÉ,5/5,1,Cuisine française,75005,€€
36,POKAWA,5/5,1,Cuisines du monde,75002,€
37,COCOTTE ET TIRE BOUCHON,5/5,1,Cuisine française,75018,€€
38,LE MONTEVERDI,5/5,1,Restaurant italien et pizzeria,75006,€€
39,LES POLISSONS,5/5,1,Restaurant aveyronnais,75020,€€
40,AUBERGE FLORA,5/5,1,Bistrot – Brasserie,75011,€€
41,LE RÉCAMIER,5/5,1,Cuisine française,75007,€€
42,BOOST,5/5,1,Restauration rapide – À domicile,75003,€
43,MENSAE,5/5,1,Bistrot – Brasserie,75019,€€€
44,L'OFFICE,5/5,1,Bistrot – Brasserie,75009,€€
45,U.S. ATELIERS,5/5,1,Bistrot – Brasserie,75012,€
46,LE BRASIER,5/5,1,Restaurant savoyard,75017,€
47,MORRY'S BAGEL'S,5/5,1,Restaurant américain,75011,€
48,SAMOURAI,5/5,1,Restaurant japonais,75012,€€€
49,LILANE,5/5,1,Cuisine française,75005,€€
0,LE LAURIER,5/5,1,Bistrot – Brasserie,75014,€€
1,L' ESTAMINET DES ENFANTS-ROUGES,5/5,1,Bistrot – Brasserie,75003,€€
2,LUMEN,5/5,1,Restaurant italien et pizzeria,75001,€€
3,BIONDI,5/5,1,Restaurant argentin,75011,€€€
4,CRÊPE DE LA JOIE,5/5,1,Crêperie,75005,€
5,VIENS POUPOULE,5/5,1,Bistrot – Brasserie,75020,€
6,LE CENTRAL,5/5,1,Cuisine française,75002,€
7,ZÉRO ZÉRO SÈVRES,5/5,1,Bistrot – Brasserie,75007,€€
8,AETNA,5/5,1,Cuisine française,75006,€€
9,THE GREEN GOOSE,5/5,1,Restaurant irlandais,75011,€
10,L'ÉCHAPPÉE,5/5,1,Restaurant bio,75011,€
11,CHEZ MIKI,5/5,1,Restaurant japonais,75002,€€€
12,CHEZ BOUBOULE,5/5,1,Cuisine française,75009,€€
13,SPOON,5/5,1,Bistrot – Brasserie,75002,€€
14,WELCOME CUISINE BIO,5/5,1,Restaurant bio,75011,€
15,LE COLIBRI,5/5,1,Cuisine française,75008,€
16,HELLO SUSHI CHÂTELET,5/5,1,Restaurant japonais,75004,€
17,AU COCHON DE LAIT,"4,6/5",5,Restaurant aveyronnais,75019,€€
18,DOUBLE DRAGON,5/5,1,Cuisine d'Asie,75011,€€
19,MAISON MARIE,5/5,1,Bistrot – Brasserie,75005,€€
20,THAÏXPRESS,5/5,1,Restaurant thaïlandais,75008,€
21,KINN KHAO,5/5,1,Restaurant thaïlandais,75009,€€
22,THAÏ AT HOME,5/5,1,Traiteur asiatique,75015,€
23,GRANDS VERRES,5/5,1,Bistrot – Brasserie,75011,€€
24,BISTROT RICHELIEU,5/5,1,Bistrot – Brasserie,75001,€€
25,LE BISTRO DU 15ÈME,5/5,1,Bistrot – Brasserie,75015,€€
26,D'CHEZ EUX,5/5,1,Cuisine française,75007,€€
27,PECO PECO,5/5,1,Restaurant japonais,75009,€
28,LE BABYLONE,5/5,1,Bistrot – Brasserie,75007,€
29,CHINCHIN,5/5,1,Cuisine française,75014,€€
30,AU PIED DU SACRÉ COEUR,5/5,1,Cuisine française,75018,€€
31,DONANTONIA,5/5,1,Restaurant portugais,75010,€
32,LE BISTROT DU MÉTRO,5/5,1,Bistrot – Brasserie,75020,€
33,CAFÉ D'ORLÉANS,5/5,1,Cuisine française,75014,€
34,LE BURGER JOINT,5/5,1,Burger,75003,€€
35,ISUMO,5/5,1,Restaurant japonais,75017,€
36,CAVIAR KASPIA,5/5,1,Restaurant russe,75008,€€€
37,TOMY & CO,5/5,1,Bistronomie,75007,€€€
38,ELAICHI VEGETARIAN STREET FOOD,5/5,1,Restaurant végétarien,75010,€
39,ADAM ET ÈVE CAFÉ,5/5,1,Restaurant bio,75001,€€
40,LE TERMINUS NATION,5/5,1,Bistrot – Brasserie,75020,€€
41,SANTA CARNE,5/5,1,Restaurant argentin,75011,€€
42,PIDÈ,5/5,1,Restaurant turc,75010,€€
43,BONG RÉPUBLIQUE,5/5,1,Restaurant coréen,75011,€€
44,LE MÛRIER,5/5,1,Bistrot – Brasserie,75015,€
45,LES PÈRES SIFFLEURS,5/5,1,Bistrot – Brasserie,75015,€€
46,LE PASTEUR,5/5,1,Cuisine française,75015,€€
47,SIMONE,5/5,1,Cuisine française,75013,€€
48,LE PINOCCHIO,5/5,1,None,75014,€
49,DO & RIZ,5/5,1,Restaurant vietnamien,75012,€
0,TSE,5/5,1,Restaurant chinois,75016,€€
1,PARIS EUROPE,5/5,1,Bistrot – Brasserie,75008,€
2,DOMANI,5/5,1,Restaurant italien et pizzeria,75008,€€
3,LA RÔTISSERIE D'ARGENT,5/5,1,Bistrot – Brasserie,75005,€€
4,LE COMPTOIR DU PANTHÉON,5/5,1,Bistrot – Brasserie,75005,€€
5,LE BOUILLON BELGE,5/5,1,Restaurant belge,75020,€€
6,OXTE,5/5,1,Restaurant mexicain,75017,€€
7,CAFÉTÉRIA DU CENTRE COMMUNAUTAIRE JUIF DE PARIS,5/5,1,Cuisine du Proche et Moyen-Orient,75010,€
8,CHEZ FERNAND,5/5,1,Cuisine française,75006,€€
9,LE LAMARCK,5/5,1,Cuisine française,75018,€€€
10,MONGOO,5/5,1,Saladerie,75002,€
11,GRAND CAFÉ CAPUCINES,5/5,1,Bistrot – Brasserie,75009,€€€
12,CAFÉ DU MÉTRO,5/5,1,Bistrot – Brasserie,75005,€
13,LES GOURMETS DES TERNES,5/5,1,Bistrot – Brasserie,75008,€€
14,RESTAURANT DANS LES LANDES... MAIS À PARIS,"4,5/5",6,Bistrot – Brasserie,75005,€€
15,LE RÉSERVOIR,5/5,1,Cuisine française,75011,€€
16,EATME MONTORGUEIL,5/5,1,Restaurant bio,75002,€
17,MONSIEUR BLEU,5/5,1,Cuisine française,75116,€€
18,HALLE AUX GRAINS,5/5,1,Gastronomique,75001,€€€
19,LA BELLE FERRONNIÈRE,"4,7/5",3,Bistrot – Brasserie,75008,€€
20,CAFÉ DIVAN,"4,7/5",3,Cuisine française,75011,€
21,LA PALANCHE D'ÂULAC,"4,7/5",3,Restaurant vietnamien,75009,€€
22,LA BUTTE AUX PIAFS,"4,7/5",3,Cuisine française,75013,€€
23,LE GOYAVIER,"4,7/5",3,Restaurant réunionnais,75011,€€
24,BEKSEJU VILLAGE IN PARIS,"4,7/5",3,Restaurant coréen,75013,€
25,POP'TATOES,"4,7/5",3,Sur place – À emporter,75005,€
26,L'AMBASSADE D'AUVERGNE,4/5,10,Restaurant auvergnat,75003,€€
27,SÉOUL MAMA,"4,7/5",3,Restaurant coréen,75015,€€
28,LES JARDINS DE LA MANDCHOURIE,"4,7/5",3,Restaurant chinois,75012,€
29,LE GRAND BISTRO DE BRETEUIL,"4,7/5",3,Bistrot – Brasserie,75007,€€
30,BRASSERIE BELLANGER,"4,7/5",3,Bistrot – Brasserie,75010,€
31,AUX 2 OLIVIERS,"4,7/5",3,Cuisine française,75006,€€
32,DISHNY,4/5,10,Restaurant indien,75010,€€
33,ALKARAM,"4,3/5",7,Restaurant libanais,75015,€€
34,HOMER LOBSTER,"4,7/5",3,Restaurant fruits de mer – Poissons,75004,€€
35,CAFÉ LE PIQUET,"4,7/5",3,Bistrot – Brasserie,75015,€€
36,LE CAFÉ DU COMMERCE,"4,7/5",3,Cuisine française,75013,€€
37,TONKATSU TOMBO,"4,7/5",3,Restaurant japonais,75014,€
38,AUX PETITS OIGNONS,"4,7/5",3,Bistrot – Brasserie,75020,€€
39,KODAWARI RAMEN TSUKIJI,"4,7/5",3,Restaurant japonais,75001,€€
40,LES OMBRES QUAI BRANLY,4/5,10,Cuisine française,75007,€€€
41,Copenhague Paris,"4,7/5",3,Restaurant danois,75008,€€€
42,MADISON CAFFE,None,None,Restaurant italien et pizzeria,75016,€
43,POMZE,"4,7/5",3,Cuisine française,75008,€€
44,LES NIÇOIS,"4,7/5",3,Cuisine française,75011,€€
45,UNDER THE SEA,None,None,Cuisine française,75013,€€
46,LE BEC FIN,"4,4/5",5,Restaurant algérien,75010,€€
47,SAAM,"4,4/5",5,Restaurant coréen,75010,€€
48,EL JUANCHITO,"4,5/5",4,Restaurant colombien,75011,€
49,Five Guys Champs-Élysées,"4,5/5",4,Sur place – À emporter,75008,€
0,LE PRÉ CATELAN,"4,5/5",4,Gastronomique,75016,€€€
1,MISS KO,"4,3/5",6,Restaurant japonais,75008,€
2,UMAMI MATCHA CAFÉ,"4,5/5",4,Restaurant japonais,75003,€€
3,CHEZ CASIMIR,"4,5/5",4,Bistrot – Brasserie,75010,€€
4,LA DAME DE PIC,"4,3/5",6,Cuisine française,75001,€€€
5,LA MANGERIE,"4,5/5",4,Tapas,75004,€€
6,LE POINT ÉPHÉMÈRE,"4,5/5",4,Cuisine française,75010,€€
7,LE CAFE DE LA PAIX,"4,5/5",4,Bistrot – Brasserie,75009,€€
8,L'ÎLE DE CRÈTE,"4,1/5",8,Restaurant crétois,75005,€
9,SISENG,"4,4/5",5,Restaurant chinois,75010,€€
10,BISTROT BEYROUTH,"4,5/5",4,Restaurant libanais,75011,€€
11,BREAKFAST IN AMERICA,"4,1/5",8,Restaurant américain,75005,€
12,PRESTO FRESCO,"4,1/5",8,Restaurant italien et pizzeria,75001,€€
13,LE CARRÉ DES FEUILLANTS,"4,3/5",6,Cuisine française,75001,€€€
14,PRIVÉ DE DESSERT,"4,4/5",5,Restaurant insolite,75009,€
15,CARAMEL SARRASIN,"4,5/5",4,Crêperie,75009,€
16,CHEZ LILI ET MARCEL,"3,7/5",12,Bistrot – Brasserie,75013,€€
17,LA TABLE DES ANGES,"4,5/5",4,Bistrot – Brasserie,75009,€€
18,THAI HOUSE,"4,5/5",4,Restaurant thaïlandais,75009,€
19,LES TONTONS,"4,3/5",6,Bistrot – Brasserie,75011,€€
20,AZABU,"4,3/5",6,Restaurant japonais,75006,€€
21,PLANET SUSHI,"4,3/5",6,Sushi,75016,€
22,AKI,4/5,8,Restaurant japonais,75001,€€
23,ALIVI,"4,2/5",6,Restaurant corse,75004,€€
24,LAO LANE XANG 2,"3,7/5",11,Restaurant laotien,75013,€€
25,LE CRABE MARTEAU,"3,8/5",10,Restaurant fruits de mer – Poissons,75017,€€
26,LA CRÊPERIE PLOUGASTEL,"3,6/5",12,Crêperie,75014,€
27,LA MOSQUÉE DE PARIS,"3,4/5",14,Cuisine du Maghreb,75005,€€
28,L' AS DU FALLAFEL,"3,7/5",11,Cuisine du Proche et Moyen-Orient,75004,€€
29,L'ÎLE AU BLÉ NOIR,"4,2/5",6,Crêperie,75014,€
30,LE PETIT CAMBODGE,"4,2/5",6,Restaurant cambodgien,75010,€
31,BOUILLON RACINE,"3,6/5",12,Bistrot – Brasserie,75006,€€
32,RESTAURANT DU MUSÉE D'ORSAY,"4,2/5",6,Cuisine française,75007,€€€
33,LE CHARDENOUX,"3,9/5",9,Cuisine française,75011,€€
34,PASTIFICIO PASSERINI,"4,5/5",2,Restaurant italien et pizzeria,75012,€€
35,SIAM SQUARE THAÏ STREET FOOD,"4,5/5",2,Cuisine d'Asie,75010,€€
36,L'ENTENTE,"4,5/5",2,Restaurant britannique,75002,€€
37,LE 12-15,"4,5/5",2,Bistrot – Brasserie,75009,€€
38,AU PETIT PANISSE,"4,5/5",2,Bistrot – Brasserie,75011,€€
39,A LA DUCHESSE ANNE,"4,5/5",2,Restauration rapide – À domicile,75006,€
40,MENEKSE,"4,5/5",2,Restaurant turc,75011,€€
41,SO NAT,"4,5/5",2,Restaurant végétarien,75009,€
42,HANK VEGAN PIZZA,"4,5/5",2,Restaurant végétarien,75003,€€
43,PIZZA DI LORETTA,"4,5/5",2,Restaurant italien et pizzeria,75009,€
44,LA CAVE LANREZAC,"4,5/5",2,Bistrot – Brasserie,75017,€€
45,VANTRE,"4,5/5",2,Bistrot – Brasserie,75011,€€
46,LE PRINTANIER,"4,3/5",4,Bistrot – Brasserie,75009,€
47,O.B.U - ORGANISATION DES BURGERS UNIS,"4,3/5",4,Cuisine Amériques – Caraïbes,75010,€
48,IPPUDO,"4,5/5",2,Restaurant japonais,75006,€
49,LA TABLE DES TERNES,"4,5/5",2,Cuisine française,75017,€€
0,LES ARLOTS,"4,5/5",2,Bistrot – Brasserie,75010,€€
1,L'INAVOUE,"4,5/5",2,Cuisines du monde,75001,€€
2,CAFÉ DAGUERRE,4/5,7,Restaurant aveyronnais,75014,€€
3,LA BAUHINIA,"4,5/5",2,Cuisine d'Asie,75016,€€€
4,MANNA,"4,5/5",2,Restaurant coréen,75015,€
5,LE BON SAINT POURÇAIN,"4,5/5",2,Cuisine française,75006,€€
6,PARIS NEW YORK BURGER,"4,5/5",2,Restaurant américain,75003,€€
7,Five Guys Bercy Village,"4,5/5",2,Restaurant américain,75012,€
8,PARIS-BREIZH,4/5,7,Crêperie,75012,€
9,PROFESSORE,"4,5/5",2,Restaurant italien et pizzeria,75009,€€
10,ZAZZA,"4,5/5",2,Restaurant italien et pizzeria,75010,€€
11,LE BEAUJOLAIS D'AUTEUIL,"4,5/5",2,Bistrot – Brasserie,75016,€€
12,KIEZ BIERGARTEN,"4,5/5",2,Restaurant allemand,75018,€€
13,CHEZ MARGOT,"4,5/5",2,Bistrot – Brasserie,75004,€€
14,LE DRAPEAU DE LA FIDELITÉ,"4,3/5",4,Restaurant vietnamien,75015,€
15,GRAZIE,"4,5/5",2,Restaurant italien et pizzeria,75003,€€
16,LES MAQUEREAUX,"4,5/5",2,Restaurant fruits de mer – Poissons,75004,€€
17,A NOSTE,"4,5/5",2,Tapas,75002,€€
18,L'ALTRO,"4,5/5",2,Restaurant italien et pizzeria,75006,€€
19,BONJOUR VIETNAM,"4,5/5",2,Restaurant vietnamien,75005,€€
20,CALDO FREDDO,"4,5/5",2,Restaurant italien et pizzeria,75001,€€
21,LE PETIT CARDINAL,"4,5/5",2,Bistrot – Brasserie,75005,€€
22,LA TOSCANA,"4,5/5",2,Restaurant italien et pizzeria,75020,€€
23,LE CAFÉ DE L'ODÉON,"4,5/5",2,Bistrot – Brasserie,75006,€€
24,EAST MAMMA,"4,5/5",2,Restaurant italien et pizzeria,75011,€€
25,WHO'S,"4,5/5",2,Brunch,75004,€€
26,SHU,"4,5/5",2,Restaurant japonais,75006,€€
27,MAGUEY,"4,3/5",4,Cuisine française,75012,€€
28,LONG HOA,"4,5/5",2,Restaurant vietnamien,75013,€
29,DONG HUONG,"4,3/5",4,Restaurant vietnamien,75011,€
30,HOKKAIDO,"4,3/5",4,Restaurant japonais,75002,€
31,LESCURE,"4,5/5",2,Bistrot – Brasserie,75001,€€
32,KHATAG,"4,5/5",2,Restaurant tibétain – népalais,75003,€
33,LE POINT ZÉRO,"4,3/5",4,Bistrot – Brasserie,75002,€€
34,LE SQUARE TROUSSEAU,"4,3/5",4,Bistrot – Brasserie,75012,€€
