id,name,note,nbr_avis,type,quartier,prix
16,ALLIANCE,5/5,3,Cuisine française,75005,€€€
17,NEW SANNA,"4,8/5",5,Restaurant indien,75017,€
18,LE PETIT ITALIEN,5/5,3,Restaurant italien et pizzeria,75004,€€
19,LA GRANGE AUX CANARDS,5/5,3,Bistrot – Brasserie,75005,€€
20,LA TABLE LIBANAISE,"4,5/5",8,Restaurant libanais,75015,€€
21,YAKI SHOP,5/5,2,Restaurant japonais,75001,€
22,LE NAPOLÉON III,5/5,2,Bistrot – Brasserie,75019,€€
23,BRASSERIE LA TOUR,5/5,2,Cuisine française,75012,€€
24,LE NOM M'ÉCHAPPE,5/5,2,Cuisine française,75002,€€
25,CAFÉ MADELEINE,5/5,2,Cuisine française,75008,€€
26,PIETRO,5/5,2,Restaurant italien et pizzeria,75015,€€
27,LES ROUQUINS,5/5,2,Cuisine française,75014,€€
28,LE COLIMAÇON,"4,8/5",4,Cuisine française,75004,€€
29,LA CANTINA,5/5,2,Restaurant italien et pizzeria,75015,€€
30,LA CAGOUILLE,"4,3/5",9,Restaurant fruits de mer – Poissons,75014,€€
31,WALLACE,5/5,2,Cuisine française,75015,€€
32,58 TOUR EIFFEL,"4,3/5",9,Cuisine française,75007,€€€
33,RESTAURANT EL SUR,5/5,2,Restaurant argentin,75005,€€
34,TASHI DELEK,5/5,2,Restaurant tibétain – népalais,75005,€€
35,21 MARTORELL CRÊPERIE,5/5,2,Crêperie,75009,€€
36,CHEZ MINNA,5/5,2,Cuisine française,75010,€€
37,LE SOURIRE DE SAÏGON,"4,1/5",11,Restaurant vietnamien,75018,€€
38,L'ILIADE,5/5,2,Restaurant grec,75019,€
39,FRÉDÉRIC SIMONIN,5/5,2,Cuisine française,75017,€€€
40,LE BAR À MANGER,5/5,2,Cuisine française,75001,€€
41,6 NEW YORK,5/5,2,Cuisine française,75016,€€€
42,NEIGE D'ÉTÉ,5/5,2,Cuisine française,75015,€€€
43,GAMBINO,"4,8/5",4,Restaurant italien et pizzeria,75001,€€
44,FOUNTI AGADIR,5/5,2,Restaurant marocain,75005,€€
45,LA TÊTE D'OR,5/5,2,Cuisine française,75001,€€
46,AU PETIT PARIS,"4,8/5",4,Restaurant des Balkans,75017,€€
47,LE CHATEAUBRIAND,5/5,2,Cuisine française,75011,€€€
48,DELAVILLE CAFÉ,"3,4/5",18,Bistrot – Brasserie,75010,€€
49,MYSTERY CUISINE,5/5,2,Cuisine française,75001,€€€
0,LE BRISE MICHE,"4,8/5",4,Bistrot – Brasserie,75004,€€
1,LE JARDIN DES PÂTES,"4,8/5",4,Cuisine française,75005,€€
2,LE PETIT RÉTRO,5/5,2,Bistrot – Brasserie,75016,€€
3,TAVLINE,5/5,2,Restaurant israëlien,75004,€€
4,DA GRAZIELLA PIZZERIA,5/5,2,Restaurant italien et pizzeria,75010,€€
5,L'ESCUDELLA,5/5,1,Cuisine française,75007,€€
6,JACOPO,5/5,1,Cuisine française,75008,€€
7,AU MOULIN À VENT,5/5,1,Bistrot – Brasserie,75005,€€
8,BIEN ÉLEVÉ,5/5,1,Cuisine française,75009,€€
9,LE CAFE DU RENDEZ-VOUS,5/5,1,Cuisine française,75014,€€
10,SPEAKEASY,5/5,1,Bistrot – Brasserie,75016,€€
11,LA PORTENA,5/5,1,Restaurant argentin,75018,€€
12,DÉPÔT LÉGAL,5/5,1,Bistrot – Brasserie,75002,€€
13,ENYAA,5/5,1,Cuisine d'Asie,75001,€€€
14,LE FLAMBOIRE,5/5,1,Cuisine française,75009,€€
15,LE POULPRY,5/5,1,Cuisine française,75007,€€
16,MARIUS ET JANETTE,5/5,1,Restaurant fruits de mer – Poissons,75008,€€€
17,L'ÉPIDON,5/5,1,Restaurant bio,75006,€€
18,ABRI,5/5,1,Cuisine française,75010,€
19,IL GRIGIO,5/5,1,Restaurant italien et pizzeria,75007,€
20,LA FINE MOUSSE,5/5,1,Restaurant insolite,75011,€€
21,LE CAFÉ BARGE,5/5,1,Sur place – À emporter,75012,€€
22,NOSSA CHURRASQUEIRA,5/5,1,Restaurant portugais,75005,€
23,LE CHANSONNIER,5/5,1,Bistrot – Brasserie,75010,€€
24,LE VITIS,5/5,1,Cuisine française,75015,€€
25,U MULINU,5/5,1,Restaurant corse,75005,€€
26,JAMBON BEURRE,5/5,1,Sur place – À emporter,75001,€
27,MADELEINE C,5/5,1,Cuisine française,75008,€€€
